"Bush-1","Bush-2","Obama-1","Obama-2","Trump","Biden","Glove"
"energy","overall","energy","energy","energy","energy","efficient"
"capture","increase","doe","doe","greater","doe","efficiencies"
"overall","improve","consumption","higher","improve","levels","improve"
"use","improved","standards","levels","increase","efficiencies","productivity"
"reduce","energy","levels","standards","promote","standards","improving"
"performance","effectiveness","level","baseline","transparency","higher","reliability"
"measure","achieve","improved","increase","improved","overall","improved"
"emission","increased","higher","consumption","overall","baseline","quality"
"reduction","increasing","standard","test","increased","consumption","effectiveness"
"promote","level","fuel","overall","increasing","improved","reducing"
"test","higher","economy","level","economy","standard","improvements"
"improve","greater","improve","performance","reducing","performance","competitiveness"
"increase","levels","value","standard","higher","electric","transparency"
"device","promote","increase","compared","doe","capacity","renewable"
"reducing","reduction","performance","values","competition","increase","standards"
"increased","performance","efficiencies","power","standards","measured","innovation"
"measurement","standard","improvements","relative","reduce","test","reduce"
"using","reduce","product","achieve","cost","i.e","increase"
"determine","economy","overall","improve","effectiveness","consumer","profitability"
"system","enhance","improvement","efficiencies","reduction","increasing","maximize"
